staff_skill_id,staff_id,skill_id,verification_status
144,46,14,VERIFIED
145,46,15,VERIFIED
146,47,2,VERIFIED
147,47,3,VERIFIED
148,47,10,VERIFIED
149,47,11,VERIFIED
150,47,12,VERIFIED
151,47,14,VERIFIED
152,48,4,VERIFIED
153,48,11,VERIFIED
154,48,14,VERIFIED
155,49,5,VERIFIED
156,49,11,VERIFIED
157,49,14,VERIFIED
158,50,11,VERIFIED
159,50,14,VERIFIED
160,51,6,VERIFIED
161,51,11,VERIFIED
162,51,12,VERIFIED
163,52,8,VERIFIED
164,52,13,VERIFIED
165,53,7,VERIFIED
166,53,14,VERIFIED
167,54,9,VERIFIED
168,54,13,VERIFIED
169,55,1,VERIFIED
170,55,3,VERIFIED
171,55,14,VERIFIED
172,55,15,VERIFIED
173,56,2,VERIFIED
174,56,3,VERIFIED
175,56,11,VERIFIED
176,56,12,VERIFIED
177,56,14,VERIFIED
178,57,4,VERIFIED
179,57,10,VERIFIED
180,57,11,VERIFIED
181,57,14,VERIFIED
182,58,5,VERIFIED
183,58,11,VERIFIED
184,58,14,VERIFIED
185,59,10,VERIFIED
186,59,11,VERIFIED
187,59,14,VERIFIED
188,60,6,VERIFIED
189,60,11,VERIFIED
190,60,12,VERIFIED
191,61,8,VERIFIED
192,61,13,VERIFIED
193,62,7,VERIFIED
194,62,10,VERIFIED
195,62,14,VERIFIED
196,63,9,VERIFIED
197,63,13,VERIFIED
198,64,1,VERIFIED
199,64,3,VERIFIED
200,64,14,VERIFIED
201,64,15,VERIFIED
202,65,2,VERIFIED
203,65,3,VERIFIED
204,65,10,VERIFIED
205,65,11,VERIFIED
206,65,12,VERIFIED
207,65,14,VERIFIED
208,66,4,VERIFIED
209,66,11,VERIFIED
210,66,14,VERIFIED
211,67,5,VERIFIED
212,67,10,VERIFIED
213,67,11,VERIFIED
214,67,14,VERIFIED
215,68,10,VERIFIED
216,68,11,VERIFIED
217,68,14,VERIFIED
218,69,6,VERIFIED
219,69,11,VERIFIED
220,69,12,VERIFIED
221,70,8,VERIFIED
222,70,13,VERIFIED
223,71,7,VERIFIED
224,71,10,VERIFIED
225,71,14,VERIFIED
226,72,9,VERIFIED
227,72,13,VERIFIED
228,73,1,VERIFIED
229,73,3,VERIFIED
230,73,14,VERIFIED
231,73,15,VERIFIED
232,74,2,VERIFIED
233,74,3,VERIFIED
234,74,11,VERIFIED
235,74,12,VERIFIED
236,74,14,VERIFIED
237,75,4,VERIFIED
238,75,11,VERIFIED
239,75,14,VERIFIED
240,76,5,VERIFIED
241,76,11,VERIFIED
242,76,14,VERIFIED
243,77,10,VERIFIED
244,77,11,VERIFIED
245,77,14,VERIFIED
246,78,6,VERIFIED
247,78,10,VERIFIED
248,78,11,VERIFIED
249,78,12,VERIFIED
250,79,8,VERIFIED
251,79,10,VERIFIED
252,79,13,VERIFIED
253,80,7,VERIFIED
254,80,10,VERIFIED
255,80,14,VERIFIED
256,81,9,VERIFIED
257,81,13,VERIFIED
258,82,1,VERIFIED
259,82,3,VERIFIED
260,82,14,VERIFIED
261,82,15,VERIFIED
262,83,2,VERIFIED
263,83,3,VERIFIED
264,83,10,VERIFIED
265,83,11,VERIFIED
266,83,12,VERIFIED
267,83,14,VERIFIED
268,84,4,VERIFIED
269,84,11,VERIFIED
270,84,14,VERIFIED
271,85,5,VERIFIED
272,85,11,VERIFIED
273,85,14,VERIFIED
274,86,11,VERIFIED
275,86,14,VERIFIED
276,87,6,VERIFIED
277,87,11,VERIFIED
278,87,12,VERIFIED
279,88,8,VERIFIED
280,88,10,VERIFIED
281,88,13,VERIFIED
282,89,7,VERIFIED
283,89,14,VERIFIED
284,90,9,VERIFIED
285,90,10,VERIFIED
286,90,13,VERIFIED
287,91,13,VERIFIED
288,92,13,VERIFIED
289,93,13,VERIFIED
290,94,13,VERIFIED
291,95,13,VERIFIED
292,96,13,VERIFIED
293,97,13,VERIFIED
294,98,13,VERIFIED
295,99,13,VERIFIED
296,100,13,VERIFIED
